0,1,2,4,3
the chinese government gave active cooperation and assistance to the organization for the prohibition of chemical weapons inspections.,the ecuadorian foreign ministry said in a statement that delegates from the organization for the prohibition of chemical weapons (opaq) will also take part in the meeting.,1.0,['इक्वाडोर के विदेश मंत्रालय ने एक वक्तव्य में कहा कि रासायनिक हथियारों के प्रतिबंध के संगठन (ओपाक) के प्रतिनिधि भी बैठक में भाग लेंगे।'],['चीन सरकार ने रासायनिक हथियारों की जांचों को प्रतिबंधित करने के लिए संगठन को सक्रिय सहयोग और सहायता दी।']
the mexican government has adopted a series of measures against drug trafficking and organized crime within mexico since 2006.,since 2006 mexico has adopted a series of measures against drug trafficking and organized crimes.,5.0,['2006 से मेक्सिको ने मादक पदार्थों के व्यापार और संगठित अपराधों के विरुद्ध अनेक उपाय अपनाए हैं।'],['मेक्सिको सरकार ने २००६ से मेक्सिको में ड्रग्स के व्यापार और संगठित अपराध के विरुद्ध अनेक उपाय अपनाए हैं।']
the statement did not specify the quantity of warheads the missile is capable of carrying.,the statement did not specify how many warheads the missile can carry.,5.0,['वक्तव्य में यह निर्दिष्ट नहीं किया गया कि इस मिसाइल में कितने युद्धकेंड हैं।'],['इस बयान में उस मिसाइल द्वारा ले जा सकने वाले युद्धकेंड की मात्रा निर्दिष्ट नहीं की गई थी.']
it is a serious threat to international security.,it presents a major threat to global security.,4.199999809265137,['यह वैश्विक सुरक्षा के लिए एक प्रमुख खतरा है।'],['यह अंतरराष्ट्रीय सुरक्षा के लिए गंभीर खतरा है।']
nicaragua commemorated the 25th anniversary of the sandinista revolution.,nicaragua has not reconciled how to approach the anniversary of the sandinista revolution.,2.4000000953674316,"['निकारागुआ ने बालीनिस्ट क्रांति के वर्षगांठ के अवसर पर कैसे आगे बढ़ना है, यह समझौता नहीं किया है।']",['निकारागुआ ने सैंडिनिस्ट क्रांति की 25वीं वर्षगांठ को याद किया।']
russian president vladimir putin states that the decision to cease implementation of the conventional forces in europe treaty is a response to u.s. plans to establish missile defense sites in eastern europe and to nato's failure to ratify an amended version of the treaty.,russian president vladimir putin states that the decision is a response to u.s. plans to establish missile defense sites in eastern europe and to nato's failure to ratify an amended version of the treaty.,4.199999809265137,['रूस के राष्ट्रपति Vladimir Putin का कहना है कि यह निर्णय पूर्वी यूरोप में मिसाइल रक्षा स्थल स्थापित करने के अमेरिकी योजनाओं और नाटो की संधि के संशोधित संस्करण को अनुमोदित करने में असफलता के प्रति प्रतिक्रिया है।'],['रूसी राष्ट्रपति Vladimir Putin का कहना है कि यूरोपीय समझौते में पारंपरिक बलों के क्रियान्वयन को बंद करने का निर्णय पूर्वी यूरोप में मिसाइल रक्षा स्थल स्थापित करने के अमेरिकी योजनाओं और समझौते के संशोधित संस्करण को ratify करने में नाटो की असफलता का एक प्रतिक्रिया है।']
dutch national research institute tno carried out chemical weapons experiments for the dutch defense ministry during the 1950s.,a hp/detijd journalist learned about tno's chemical weapons experiments from the defense ministry's archives.,2.5999999046325684,['एक hp/detijd पत्रकार ने रक्षा मंत्रालय के अभिलेखों से टीनो के रासायनिक हथियार प्रयोगों के बारे में सीखा।'],['डच नेशनल रिसर्च इंस्टीट्यूट ने 1950 के दशक में डच रक्षा मंत्रालय के लिए रासायनिक हथियारों के प्रयोग किए।']
"a report issued by security software vendor mcafee inc., said government-affiliated hackers in china are at the forefront of a brewing cyber cold war.",government-affiliated hackers in china are at the forefront of a burgeoning cyber cold war.,3.4000000953674316,['चीन में सरकारी प्रतिबद्ध हैकर एक बढ़ती हुई साइबर शीतयुद्ध के अग्रणी हैं।'],['सुरक्षा सॉफ्टवेयर विक्रेता एमकैफे इन्क. द्वारा जारी एक रिपोर्ट में कहा गया है कि चीन में सरकारी अनुबद्ध हैकर एक बढ़ती हुई साइबर शीतयुद्ध के अग्रणी हैं।']
"the treaty limits the number of aircraft, tanks and other non-nuclear heavy weapons around europe and was first signed in 1990.","the treaty limits the number of aircraft, tanks and other non-nuclear heavy weapons around europe.",3.5999999046325684,"['यह संधि यूरोप के आसपास वायुयानों, टैंकों और अन्य गैर परमाणु भारी हथियारों की संख्या को सीमित करती है।']","['यह संधि यूरोप के आसपास वायुयानों, टैंकों और अन्य गैर परमाणु भारी हथियारों की संख्या को सीमित करती है और पहली बार 1990 में हस्ताक्षर की गई थी।']"
many of the attacks originated abroad.,estonian officials stated that the attacks originated in russia.,1.7999999523162842,['इस्टोनिया के अधिकारियों ने कहा कि आक्रमण रूस से हुए थे।'],['कई आक्रमण विदेशों से हुए थे।']
police arrested 2 honduran drug trafficking suspects.,bulgarian police arrest head of drug trafficking group.,1.399999976158142,['bulgarian police arrest head of drug trafficking group.'],['पुलिस ने दो honduran मादक दवा व्यापार संदिग्धों को गिरफ्तार किया।']
if japan rises to the occasion japan will never be beaten even in terms of military power.,ozawa said that if japan rises to the occasion then japan will never be beaten even in terms of military power.,3.5999999046325684,['ओझावा ने कहा कि यदि जापान इस अवसर पर उठता है तो जापान को सैन्य शक्ति के संदर्भ में भी कभी नहीं पराजित किया जाएगा।'],['यदि जापान इस अवसर पर उठता है तो जापान को सैन्य शक्ति के संदर्भ में भी कभी नहीं पराजित किया जाएगा।']
egypt and jordan have signed the nuclear nonproliferation treaty and have long called for a middle east free of weapons of mass destruction.,syria has signed the nuclear nonproliferation treaty and has allowed agency experts to inspect its only known nuclear facility.,4.0,['सीरिया ने परमाणु निरस्त्रीकरण संधि पर हस्ताक्षर किए हैं और एजेंसी विशेषज्ञों को अपनी एकमात्र ज्ञात परमाणु संयंत्र की जांच करने की अनुमति दी है।'],['मिस्र और जॉर्डन ने परमाणु निरस्त्रीकरण संधि पर हस्ताक्षर किए हैं और लंबे समय से मध्य पूर्व को सामूहिक विनाश के हथियारों से मुक्त करने के लिए कहा है।']
russia already participates in the european space agency's,france is a leader in the european space agency.,1.2000000476837158,['फ्रांस यूरोपीय अंतरिक्ष एजेंसी में एक अग्रणी है।'],['रूस पहले से ही यूरोपीय अंतरिक्ष एजेंसी के']
myanmar is a military state.,myanmar has a military junta.,3.0,['मीनमार के पास एक सैनिक जुंटा है।'],['मैयानमार एक सैन्य राज्य है।']
it did not say if the men had been hanged in prison.,dozens of such criminals have been hanged in public.,1.7999999523162842,['ऐसे कई अपराधियों को सार्वजनिक रूप से फांसी दी गई है।'],['उसमें यह नहीं कहा गया था कि क्या उन लोगों को जेल में झुका दिया गया था।']
"amnesty international's report was compiled by european and international non-governmental organizations such as saferworld, which opposes armed violence.",the amnesty international report was compiled by european and international non-governmental forums.,3.200000047683716,['Amnesty International रिपोर्ट यूरोपीय और अंतर्राष्ट्रीय गैर-सरकारी मंचों द्वारा तैयार की गई थी।'],['एम्नेस्टी इंटरनेशनल की रिपोर्ट यूरोपीय और अंतर्राष्ट्रीय गैर-सरकारी संगठनों द्वारा तैयार की गई थी जैसे सेफर वर्ल्ड जो सशस्त्र हिंसा का विरोध करता है।']
an institute for public policy research report said there are 27 weak states that pose a threat to britain's national security as the states could provide bases for terrorists.,the report said there are 27 weak states that pose a threat to britain's national security as the states could provide bases for terrorists.,4.199999809265137,['रिपोर्ट में कहा गया है कि 27 कमजोर राज्य हैं जो ब्रितान की राष्ट्रीय सुरक्षा के लिए खतरा पैदा करते हैं क्योंकि राज्य आतंकवादियों के लिए आधार प्रदान कर सकते हैं।'],['एक सार्वजनिक नीति अनुसंधान संस्थान की रिपोर्ट में कहा गया है कि 27 कमजोर राज्य हैं जो राज्य आतंकवादियों के लिए आधार प्रदान कर सकते हैं के रूप में ब्रितान की राष्ट्रीय सुरक्षा के लिए एक खतरा बनाते हैं।']
the iranian government denied the accusation and insists the nuclear program is for peaceful purposes only.,iran insists that its nuclear program is for peaceful purposes,4.0,['ईरान का आग्रह है कि उसका परमाणु कार्यक्रम शांतिपूर्ण उद्देश्यों के लिए है'],['ईरानी सरकार ने आरोप को झुठलाया और परमाणु कार्यक्रम केवल शांतिपूर्ण उद्देश्यों के लिए है.']
the proliferation security initiative calls for stopping and searching ships suspected of carrying weapons of mass destruction.,members of the proliferation security initiative are considering ways of intercepting ships or aircraft suspected of carrying weapons of mass destruction.,3.200000047683716,['प्रजनन सुरक्षा पहल के सदस्य सामूहिक विनाशकारी हथियारों से संदिग्ध पोतों या विमानों को रोकने के तरीकों पर विचार कर रहे हैं।'],['प्रजनन सुरक्षा पहल में सामूहिक विनाश के हथियारों से संदिग्ध पोतों को रोकने और खोजने का आह्वान किया गया है।']
"the international community should modernize and seek a fair, reasonable and effective way to enhance the nuclear non-proliferation regime through extensive consultations.","the third proposal was that countries should advance with the times and seek a fair, reasonable and effective way to enhance the nuclear non-proliferation regime through broad consultation.",3.4000000953674316,"['तीसरा प्रस्ताव यह था कि देशों को समय के साथ आगे बढ़ना चाहिए और व्यापक विचार-विमर्श के माध्यम से परमाणु निरस्त्रीकरण रोकथाम तंत्र को सुदृढ़ करने के लिए एक उचित, उचित और प्रभावी तरीका ढूंढना चाहिए।']","['अंतर्राष्ट्रीय समुदाय को व्यापक विचार-विमर्श के माध्यम से परमाणु निरस्त्रीकरण रोकथाम तंत्र को सुदृढ़ बनाने के लिए एक न्यायसंगत, उचित और प्रभावी तरीका खोजना चाहिए।']"
amnesty international has published a report stating that an indian project to sell attack helicopters to myanmar threatens a european union arms embargo against myanmar.,the amnesty international report was titled indian helicopters for myanmar: making a mockery of the eu arms embargo?,3.799999952316284,['Amnesty International की रिपोर्ट का शीर्षक था मीनमार के लिए भारतीय हेलीकॉप्टरः यूआर हथियारों के प्रतिबंध का उपहास करना?'],['Amnesty International ने एक रिपोर्ट प्रकाशित की है जिसमें कहा गया है कि म्यानमार को आक्रमण हेलीकॉप्टर बेचने का एक भारतीय परियोजना म्यानमार के विरुद्ध यूरोपीय संघ के हथियारों के प्रतिबंध का खतरा है।']
naeem m. smuggled 10 kilograms (22 pounds) of heroin.,the defendants smuggled more than 11 kilograms (24 pounds) of heroin.,2.4000000953674316,['प्रतिवादियों ने 11 किलोग्राम से अधिक (24 पाउंड) हैरोइन का अपहरण किया।'],['नेयम एम. ने 10 किलोग्राम (22 पाउंड) हैरोइन का अपहरण किया।']
