0,1,2,4,3
Your confusion doesn't make me a liar.,Then your confusion doesn't make me a liar either.,3.799999952316284,['तो तुम्हारा भ्रम मुझे भी झूठा नहीं बनाता।'],['आपका भ्रम मुझे झूठा नहीं बनाता।']
When Christians are extreme its just simply religion.,When Muslims are extreme it's terrorism.,1.600000023841858,['जब मुसलमान अतिवादी होते हैं तो यह आतंकवाद है।'],['जब ईसाई अतिवादी होते हैं तो उनका धर्म तो बस यही होता है।']
Some believe the 'right' is most important.,Some believe not slaughtering the unborn is most important.,1.2000000476837158,['कुछ लोग यह मानते हैं कि जन्मे हुए को नहीं मारना सबसे महत्वपूर्ण है।'],"[""कुछ लोग मानते हैं कि 'अच्छी' सबसे महत्वपूर्ण है।""]"
"Evolution is not an opinion, not a belief.","Atomic theory is not an opinion, not a belief.",1.600000023841858,"['परमाणु सिद्धांत कोई मत नहीं है, कोई विश्वास नहीं है।']","['विकास कोई मत नहीं है, कोई विश्वास नहीं है।']"
I am not the one claiming the right to decide over another woman's body.,You want others to decide over a woman body.,2.799999952316284,['आप चाहते हैं कि अन्य लोग एक महिला शरीर पर निर्णय करें।'],['मैं एक औरत के शरीर पर निर्णय करने का अधिकार नहीं रखता।']
Where in the world is Ron Paul?,Where in the world is the MEDIA??,0.800000011920929,['मीडिया दुनिया में कहाँ है??'],['रोन पॉल कहाँ है?']
you have no remains of a missile at the pentagon.,you have no remains of an A- at the pentagon.,2.4000000953674316,['आपके पास पंचकोण में एक A के अवशेष नहीं है।'],['आपके पास पंचभुज में एक मिसाइल का कोई अवशेष नहीं है।']
"The point you quote should say ""I never said rehabilitation could never work.""","For the trillionth time, I've never said rehabilitation doesn't work.",3.4000000953674316,['एक ट्रिलियन बार मैंने कभी नहीं कहा है कि पुनर्वास काम नहीं करता है।'],"['आप उद्धृत बिंदु ""मैं कभी नहीं कहा है पुनर्वास कभी काम नहीं कर सकता था"" कहनी चाहिए।']"
billion . Everyone in the world at Mexico's current prosperity level.,"Everyone in the world at the current ""prosperity"" level of Northwest Africa.",1.5333333015441895,"['दुनिया के सभी लोग उत्तर-पश्चिम अफ्रीका के वर्तमान "" समृद्धि"" स्तर पर हैं।']",['अरब. दुनिया में सभी मेक्सिको के वर्तमान समृद्धि स्तर पर.']
my hair is pretty thing tho :/ Quote: Ditto.,my hair is pretty thing tho :/ woops!,3.799999952316284,['मेरा बाल बहुत सुंदर है। <s> ओह!'],['मेरा बाल बहुत सुंदर है।']
