0,1,2,4,3
Woman in a black dress walking on the street.,A woman watches a dog jump down the stairs.,0.800000011920929,['एक महिला एक कुत्ता को सीढ़ियों से नीचे उछलने को देखती है।'],['सड़क पर घूमते हुए काले कपड़े पहने हुए एक महिला।']
A man and a woman looking at the camera.,A man and a woman laughing.,2.3299999237060547,['एक आदमी और एक औरत हंस रहे हैं।'],['एक पुरुष और एक महिला कैमरा देख रही हैं।']
a brown dog running through the dirty muddy grass,The large brown dog is running outside in the dirt.,3.5999999046325684,['बड़े भूरे कुत्ते बाहर रेत में दौड़ रहे हैं।'],['एक भूरा कुत्ता गंदगी में दौड़ता है']
Three dogs pulling a man on a bicycle through the snow.,"The dogs are pulling a man on a type of bike, through the snow.",5.0,['कुत्ते बर्फ के बीच एक आदमी को एक प्रकार के साइकिल पर खींच रहे हैं।'],['तीन कुत्ते बर्फ के बीच एक आदमी को सायकल पर खींचते हैं।']
A baby in a red hat sitting in a stroller is holding a doll.,A man in a gray shirt sitting in a field of flowers.,0.0,['फूलों के मैदान में बैठा एक धूसर कुर्ता पहना आदमी।'],"['एक लाल टोपी पहने हुए बच्चे जो स्ट्रोलर में बैठा है, एक पुतली पकड़ रहा है।']"
"Three children playing with hay outdoors, throwing some at camera lens.","Three young children play in the hay, throwing some at the camera.",4.800000190734863,['तीन छोटे बच्चे घास में खेलते हैं और कुछ को कैमरा पर फेंकते हैं।'],"['तीन बच्चे बाहर घास के साथ खेलते हैं, कुछ को कैमरा लेंस पर फेंकते हैं।']"
A climber is standing on the rock face next to the pink rope.,The children are running in the snow with fences in the background.,0.0,['बच्चे पीछे के पर्दे के साथ बर्फ में दौड़ रहे हैं।'],['एक चढ़ने वाला गुलाबी रस्सी के बगल में चट्टान पर खड़ा है।']
A black dog wearing an orange collar is entangled with fishing wire.,The black dog wearing a red collar shakes water off.,1.7999999523162842,['लाल कोट पहने हुए काला कुत्ता पानी को हिलाने लगता है।'],['एक नारंगी कॉलर पहने हुए काला कुत्ता मछली पकड़ने के तार से फंसा हुआ है।']
Two dogs are playing around in the dirt.,A dancer posing for the camera in a red and white dress.,0.0,['एक नर्तक जो लाल-श्वेत वस्त्र में कैमरा के लिए पोशाक बना रहा है।'],['दो कुत्ते मिट्टी में खेल रहे हैं।']
A golden dog is running on the grass.,The large beige dog is running through the grass.,3.400000095367432,['बड़ी बैज कुत्ता घास में दौड़ रही है।'],['एक सोने का कुत्ता घास पर दौड़ रहा है।']
A dog runs through the grass.,a dog runs across the grass.,4.800000190734863,['एक कुत्ता घास को पार करता है।'],['एक कुत्ता घास में दौड़ता है।']
a man in red shorts is walking along rocks by a river carrying a stick.,A man is walking on rocks with water flowing around them.,3.400000095367432,['एक आदमी चट्टानों पर चल रहा है और उनके चारों ओर पानी बह रहा है।'],['लाल कमर पहने हुए एक आदमी नदी के किनारे चट्टानों के साथ एक चिड़ी लेकर चल रहा है।']
Man rowing a boat.,a man doing a trick on skateboard,0.0,['एक आदमी स्कीटबोर्ड पर एक चाल कर रहा है'],['नौका चलाने वाला मनुष्य।']
Three dogs running on a racetrack.,Three dogs round a bend at a racetrack.,4.800000190734863,['एक रेस ट्रैक पर तीन कुत्ते एक टेढ़ा पर घेरे रहते हैं।'],['तीन कुत्ते दौड़ते हैं।']
A black and brown dog walks through the snow near a building.,An older man stands outside a old boarded up building.,0.800000011920929,['एक वृद्ध आदमी एक पुरानी इमारत के बाहर खड़ा है।'],['एक इमारत के पास एक काला और भूरा कुत्ता बर्फ के बीच चलता है।']
A dog is jumping into a swimming pool after a duck.,A dog jumping into a swimming pool.,3.400000095367432,['एक कुत्ता एक तालाब में उछलता है।'],['एक मछली के बाद एक कुत्ता एक तालाब में कूद रहा है।']
A dog running through a forest in the winter time,A dog running through a lot of twigs.,3.200000047683716,['एक कुत्ता बहुत सारे तने से दौड़ता है।'],['एक कुत्ता शीतकाल में जंगल में दौड़ता है।']
The girl is playing along with the images on the big screen.,Three girls holding umbrellas with their backs to the camera.,0.4000000059604645,['तीन लडकियाँ छतरियां पीठ के साथ कैमरा के पास ले रही हैं।'],['लड़की बड़ी स्क्रीन पर छवियों के साथ खेल रही है।']
Many people run in a race on a street.,A puppy running along a street.,1.0,['एक कुत्ता जो सड़क पर दौड़ता है।'],['बहुत से लोग सड़क पर दौड़ते हैं।']
